Registro,Prediccion
206,-0.184256
207,-0.32568103
208,-0.22281098
209,-0.19349429
210,-0.08331863
211,-0.0017800165
212,0.07895785
213,0.19695468
214,0.21343972
215,0.23608318
216,0.29785982
217,0.110026926
218,-0.07364056
219,-0.188377
220,-0.2597124
221,-0.2248071
222,-0.21482722
223,-0.12692298
224,-0.041305844
225,0.013700338
226,0.02009437
227,-0.027387561
228,0.103282824
229,-0.09030755
230,0.034040898
231,-0.12907831
232,-0.19579911
233,-0.09402628
234,0.058453582
235,0.16878183
236,0.28176504
237,0.41482574
238,0.46118462
239,0.47551498
240,0.45841506
241,0.5299144
242,0.4065935
243,0.2678559
244,0.23492385
245,0.17785038
246,0.14195538
247,0.11600076
248,0.16484603
249,0.24237573
250,0.32702714
251,0.22474907
252,0.22569723
253,0.11942195
254,0.027159838
255,-0.043093447
256,-0.052627757
257,0.024407169
258,0.07864473
259,0.1730858
260,0.22546947
261,0.30314603
262,0.3039968
263,0.31917304
264,0.32729486
265,0.25663027
266,0.28221324
267,0.2824859
268,0.22764088
269,0.19669686
270,0.13438298
271,0.14017949
272,0.1800874
273,0.3311681
274,0.43694273
275,0.4944807
276,0.5575292
277,0.54326755
278,0.42682913
279,0.3199161
280,0.21386516
281,0.073647834
282,-0.047496524
283,-0.16475354
284,-0.14537895
285,-0.07211957
286,-0.017928611
287,-0.021596104
288,0.09314995
289,-0.009712057
290,0.03514754
291,0.04612265
292,0.07413492
293,0.052862223
294,0.017373264
295,-0.047793202
296,-0.03354398
297,0.024457099
298,0.031925313
299,0.084045
300,0.17957415
301,0.07157729
302,0.06621485
303,0.037700392
304,-0.0816014
305,-0.12889732
306,-0.18973593
307,-0.20827042
308,-0.14357014
309,0.0012512895
310,0.1540771
311,0.2646283
312,0.4204948
313,0.3127105
314,0.27812475
315,0.19646984
316,0.10991179
317,0.06467556
318,-0.008703573
319,-0.0347395
320,-0.06262816
321,0.006171357
322,0.08858305
323,0.16648054
324,0.26453584
325,0.2149601
326,0.21077615
327,0.21143572
328,0.16446714
329,0.05896324
330,0.0009900125
331,-0.03279007
332,-0.07154292
333,-0.03472466
334,0.020247342
335,0.017208202
336,0.09750003
337,-0.013762394
338,-0.040965453
339,-0.09790952
340,-0.08054489
341,-0.08266217
342,-0.05308991
343,-0.037326984
344,0.06122186
345,0.17877331
346,0.23017238
347,0.3385333
348,0.4075685
349,0.344624
350,0.21804155
351,0.071794376
352,-0.055262588
