,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
VolumenUtilDiarioMasa,0.09450227822415139,-0.08276826150638558,0.035382188229041815,-0.0273122243061387,0.18432885906344543,0.0460886543068027,-0.11392466771202275,0.4767312946227962,0.04367131467411467,-0.10574814505156534,1.0,0.9534625892455924,,0.2279211529192759,,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,,,,,,,,,,,,,,
irca,0.06844400528290401,-0.07702390378756885,0.019428865149368892,-0.03038602528837508,0.16710102336277383,0.056068368653167555,-0.08067647901768621,0.5,0.0,-0.12483616290097144,0.9534625892455924,1.0,,0.23904572186687872,,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,,,,,,,,,,,,,,
POBLACION TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENSIDAD POBLACIONAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
INDICE DE DESEMPENO INSTITUCIONAL,0.03900831531619792,0.25220893523403826,0.2353950062184357,0.2912330591027843,-0.016140933796172343,0.447420545960082,-0.18630338983326702,,0.0,0.0,,,,,1.0,,,,,,,,1.0,0.8,,1.0,,1.0,1.0,1.0,-1.0,0.5,1.0,1.0,0.5
ACCESO A AGUA POTABLE ADECUADO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ACUEDUCTO URBANO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ACUEDUCTO RURAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ALCANTARILLADO URBANO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
